# A-share income statement for 600570.SH (quarterly)

REPORT_DATE_NAME,TOTAL_OPERATE_INCOME,OPERATE_PROFIT,TOTAL_PROFIT,NETPROFIT,PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT,BASIC_EPS
2025年报,5782928939.92,1307890261.2,1303308172.26,1286128861.35,1231182835.03,1013375226.58,0.65
2025三季报,3489900135.84,504795470.19,503034370.2,503114781.39,455150121.69,291109838.82,0.24
2025中报,2426419815.59,281037828.43,280050341.94,295417718.95,260513148.5,192382494.15,0.14
2025一季报,1025881877.64,44328147.38,44312946.79,39118936.01,31334213.72,9994720.7,0.02
2024年报,6581075306.06,1062217201.46,1062649068.71,1040404420.55,1043264189.37,834330463.25,0.55
2024三季报,4187756325.06,454813804.31,455568640.26,447051385.85,445518785.78,267319673.14,0.24
2024中报,2835848961.36,19353614.45,17806804.95,25102580.15,29890250.55,135589813.95,0.02
2024一季报,1187570167.18,-37236798.63,-36632504.59,-35169409.03,-36142433.43,21470413.98,-0.02
