# A-share balance sheet for 600570.SH (quarterly)

REPORT_DATE_NAME,TOTAL_ASSETS,TOTAL_LIABILITIES,TOTAL_PARENT_EQUITY,MONETARYFUNDS,INVENTORY,ACCOUNTS_RECE,GOODWILL
2025年报,15907117992.47,5165724515.67,9848043226.53,1363722500.39,677166726.77,806543937.12,620242870.87
2025三季报,14300416799.6,4493090473.96,9043070029.32,959537746.77,763754765.75,1062384054.88,642953563.39
2025中报,13858493777.9,4345756846.4,8735690319.96,1037302863.3,693639104.71,1137901942.28,642953563.39
2025一季报,13733062293.03,4286207714.2,8701620060.52,904869694.62,646900273.06,1109586202.43,642953563.39
2024年报,14728811676.92,5321737442.65,8666315264.04,2277324647.14,633199357.6,951427654.84,642953563.39
2024三季报,13414308364.11,4428117452.12,8218411086.66,828483412.77,673712960.96,1278097231.89,699321873.8
2024中报,13135949788.28,4523810347.04,7798321535.74,1113529969.6,684554952.1,1269438241.22,699321873.8
2024一季报,13200585190.21,4397515072.6,7962120802.71,1483969916.26,672834722.11,1251310494.15,699321873.8
