# A-share cash flow for 600519.SH (quarterly)

REPORT_DATE_NAME,NETCASH_OPERATE,NETCASH_INVEST,NETCASH_FINANCE,CCE_ADD,PAY_STAFF_CASH,PAY_ALL_TAX
2024一季报,9187422415.09,-766514727.33,-11756332.28,8408479527.43,7199768652.65,20727491111.84
2023年报,66593247721.09,-9724414015.16,-58889101991.94,-2018550030.36,13845293907.26,66683472509.22
2023三季报,50002007018.66,-8316439457.94,-34724722802.48,6961479712.09,11136061054.97,49076873862.34
2023中报,30387178194.96,-480141685.34,-32597493410.31,-2688539804.15,9000043619.79,32876326545.86
2023一季报,5244796293.93,218477578.11,-23119951.23,5440448931.41,6354715731.7,17181326473.45
2022年报,36698595830.03,-5536826334.9,-57424528979.83,-26261848396.69,11752241598.62,62043324506.36
2022三季报,9405337008.75,-2670952435.78,-29864845719.65,-23131169756.94,9455146335.76,48192236166.62
2022中报,-11163941.3,-1705454386.04,-28318526518.81,-30035798058.3,7335852481.68,34105323790.19
